size(KB),query_percent,avg_rel_error,avg_query_time
849.86,0.05,0.0449,0.000283
849.86,0.1,0.01,0.000283
849.86,0.15,0.0047,0.000283
1260.94,0.05,0.0335,0.000279
1260.94,0.1,0.0076,0.000279
1260.94,0.15,0.0033,0.000278
1771.61,0.05,0.0139,0.000294
1771.61,0.1,0.0047,0.000293
1771.61,0.15,0.0023,0.000294
2228.83,0.05,0.0058,0.000298
2228.83,0.1,0.0029,0.000297
2228.83,0.15,0.0014,0.000297
2680.0,0.05,0.0028,0.000307
2680.0,0.1,0.0018,0.000306
2680.0,0.15,0.0011,0.000306
2935.49,0.05,0.0023,0.000303
2935.49,0.1,0.0015,0.000302
2935.49,0.15,0.001,0.000302
3116.18,0.05,0.0021,0.000309
3116.18,0.1,0.0015,0.000308
3116.18,0.15,0.001,0.000307
849.86,0.05,0.0449,0.000369
849.86,0.1,0.01,0.000366
849.86,0.15,0.0047,0.000367
1260.94,0.05,0.0335,0.000372
1260.94,0.1,0.0076,0.000376
1260.94,0.15,0.0033,0.000373
1771.61,0.05,0.0139,0.000383
1771.61,0.1,0.0047,0.000387
1771.61,0.15,0.0023,0.000387
2228.84,0.05,0.0058,0.000386
2228.84,0.1,0.0029,0.000384
2228.84,0.15,0.0014,0.000383
2680.02,0.05,0.0028,0.000387
2680.02,0.1,0.0018,0.000392
2680.02,0.15,0.0011,0.000391
2935.5,0.05,0.0023,0.000394
2935.5,0.1,0.0015,0.000399
2935.5,0.15,0.001,0.000392
3116.17,0.05,0.0021,0.000395
3116.17,0.1,0.0015,0.000398
3116.17,0.15,0.001,0.000397
