size(KB),query_percent,avg_rel_error,avg_query_time
5735.73,0.05,0.0165,0.000333
5735.73,0.1,0.0071,0.000332
5735.73,0.15,0.0046,0.000332
6190.34,0.05,0.0122,0.000341
6190.34,0.1,0.0053,0.000339
6190.34,0.15,0.0036,0.00034
6511.21,0.05,0.0093,0.000349
6511.21,0.1,0.0042,0.000347
6511.21,0.15,0.0028,0.000347
6881.81,0.05,0.0065,0.000344
6881.81,0.1,0.003,0.000341
6881.81,0.15,0.002,0.000341
7291.68,0.05,0.004,0.000346
7291.68,0.1,0.0018,0.000345
7291.68,0.15,0.0013,0.000346
7503.86,0.05,0.0027,0.000351
7503.86,0.1,0.0014,0.00035
7503.86,0.15,0.001,0.000349
7764.0,0.05,0.0019,0.000359
7764.0,0.1,0.001,0.000357
7764.0,0.15,0.0007,0.000357
7931.33,0.05,0.0015,0.000364
7931.33,0.1,0.0009,0.000365
7931.33,0.15,0.0006,0.000366
5735.73,0.05,0.0165,0.000421
5735.73,0.1,0.0071,0.00042
5735.73,0.15,0.0046,0.00042
6190.34,0.05,0.0122,0.000425
6190.34,0.1,0.0053,0.000427
6190.34,0.15,0.0036,0.000429
6511.21,0.05,0.0093,0.000434
6511.21,0.1,0.0042,0.000429
6511.21,0.15,0.0028,0.000429
6881.81,0.05,0.0065,0.000433
6881.81,0.1,0.003,0.000432
6881.81,0.15,0.002,0.000436
7291.68,0.05,0.004,0.00044
7291.68,0.1,0.0018,0.000438
7291.68,0.15,0.0013,0.00044
7503.86,0.05,0.0027,0.000441
7503.86,0.1,0.0014,0.00044
7503.86,0.15,0.001,0.000443
7764.01,0.05,0.0019,0.000451
7764.01,0.1,0.001,0.000446
7764.01,0.15,0.0007,0.000453
